link2,redirect_url,status
http://geodata.johnscreekga.gov/datasets/d37b403e0348407b89a7a0bdd578e994_0,http://geodata.johnscreekga.gov/datasets/d37b403e0348407b89a7a0bdd578e994_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/b9e71812dfe64003b3ed3fb9966131b3_0,http://geodata.johnscreekga.gov/datasets/b9e71812dfe64003b3ed3fb9966131b3_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/17fad65f892746eb87bbbaaf3a7bdf2f_0,http://geodata.johnscreekga.gov/datasets/17fad65f892746eb87bbbaaf3a7bdf2f_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/e44607728ab8467384a3342b512441cd_0,http://geodata.johnscreekga.gov/datasets/e44607728ab8467384a3342b512441cd_0,Client error: (404) Not Found
http://data.coss.opendata.arcgis.com/datasets/d4411ef6c2464b7c9c3b05ae9240f098_103,http://data-coss.opendata.arcgis.com/datasets/d4411ef6c2464b7c9c3b05ae9240f098_103,Success: (200) OK
http://data.coss.opendata.arcgis.com/datasets/9e294755834d4b118a63883510fa55ea_100,http://data-coss.opendata.arcgis.com/datasets/9e294755834d4b118a63883510fa55ea_100,Success: (200) OK
https://www.census.gov/cgi-bin/geo/shapefiles/index.php,https://www.census.gov/cgi-bin/geo/shapefiles/index.php,Success: (200) OK
http://opendata.atlantaregional.com/datasets/cities-georgia,http://opendata.atlantaregional.com/datasets/cities-georgia,Success: (200) OK
http://opendata.atlantaregional.com/datasets/regional-commission-boundaries,http://opendata.atlantaregional.com/datasets/regional-commission-boundaries,Success: (200) OK
http://share.myfultoncountyga.us:8080/geoportal/catalog/search/resource/details.page?uuid%3D%257BCFD14605-344E-4640-A487-D078620264FB%257D,error,error
http://opendata.atlantaregional.com/datasets/citizen-districts-2000,http://opendata.atlantaregional.com/datasets/citizen-districts-2000,Success: (200) OK
http://opendata.atlantaregional.com/datasets/urban-growth-policy-map-areas,http://opendata.atlantaregional.com/datasets/urban-growth-policy-map-areas,Success: (200) OK
http://opendata.atlantaregional.com/datasets/planning-areas,http://opendata.atlantaregional.com/datasets/planning-areas,Success: (200) OK
http://opendata.atlantaregional.com/datasets/superdistricts-2010,http://opendata.atlantaregional.com/datasets/superdistricts-2010,Success: (200) OK
http://opendata.atlantaregional.com/datasets/livable-centers-initiative,http://opendata.atlantaregional.com/datasets/livable-centers-initiative,Success: (200) OK
http://opendata.atlantaregional.com/datasets/neighborhood-planning-units-2015,http://opendata.atlantaregional.com/datasets/neighborhood-planning-units-2015,Success: (200) OK
http://opendata.atlantaregional.com/datasets/city-of-atlanta-neighborhood-statistical-areas,http://opendata.atlantaregional.com/datasets/city-of-atlanta-neighborhood-statistical-areas,Success: (200) OK
http://opendata.atlantaregional.com/datasets/city-of-atlanta-council-districts,http://opendata.atlantaregional.com/datasets/city-of-atlanta-council-districts,Success: (200) OK
http://gis.atlantaga.gov/apps/gislayers/download/layers/gis_plan_beltline_tcu_corridor_st.zip,error,error
https://municipal.systems/v1/municipalities/atl-ga/parcels?limit%3D20,https://municipal.systems/v1/municipalities/atl-ga/parcels?limit%3D20,Client error: (404) Not Found
https://municipal.systems/v1/municipalities/atl-ga/zones?limit%3D20,https://municipal.systems/v1/municipalities/atl-ga/zones?limit%3D20,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/d7df3bc55138483282757592c5650e25_0,http://geodata.johnscreekga.gov/datasets/d7df3bc55138483282757592c5650e25_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/1e03e5d6e8a54032a362382cc1312f2c_0,http://geodata.johnscreekga.gov/datasets/1e03e5d6e8a54032a362382cc1312f2c_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/9f4b508378934ae5b3dec5275b45ca9b_0,http://geodata.johnscreekga.gov/datasets/9f4b508378934ae5b3dec5275b45ca9b_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/bb7bfd735ea648299ded0579bb8ec89f_0,http://geodata.johnscreekga.gov/datasets/bb7bfd735ea648299ded0579bb8ec89f_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/2fab2c70146d4f089970460f575ca185_0,http://geodata.johnscreekga.gov/datasets/2fab2c70146d4f089970460f575ca185_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/494e5559923d4a23bb9eda40673a3dd2_0,http://geodata.johnscreekga.gov/datasets/494e5559923d4a23bb9eda40673a3dd2_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/774f52f47ad14a8389af0f851499e4d9_0,http://geodata.johnscreekga.gov/datasets/774f52f47ad14a8389af0f851499e4d9_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/202dc8481212475f9e105acd9a5effca_0,http://geodata.johnscreekga.gov/datasets/202dc8481212475f9e105acd9a5effca_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/2e765a9743d1447199c9d08a8b047370_0,http://geodata.johnscreekga.gov/datasets/2e765a9743d1447199c9d08a8b047370_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/fba81fd855da406fbcae13f159df7b54_0,http://geodata.johnscreekga.gov/datasets/fba81fd855da406fbcae13f159df7b54_0,Client error: (404) Not Found
http://geodata.johnscreekga.gov/datasets/a5dbda88f03142e784a43ae61e8bc5c3_0,http://geodata.johnscreekga.gov/datasets/a5dbda88f03142e784a43ae61e8bc5c3_0,Client error: (404) Not Found
